sample,spread_bucket,model,horizon_kind,horizon_value,development_first_date,development_last_date,selection_first_date,selection_last_date,test_first_date,test_last_date,development_observations,selection_observations,test_observations,selection_roc_auc,selection_log_loss,selection_brier_score,selection_relative_brier_reduction,test_roc_auc,test_log_loss,test_brier_score,test_accuracy,test_relative_brier_reduction,intercept,queue_coefficient,ofi_coefficient,selected_fixed_on_train_dates
best_quote_updates,six_to_ten_ticks,ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6269537233967541,0.6701300858579134,0.23860495295383896,0.04570145771210721,0.6407001618590894,0.6648944314356879,0.2360762373258515,0.6109422458522122,0.055792865147570314,-0.004009156064806266,,0.8507224854890442,True
best_quote_updates,six_to_ten_ticks,ofi,price_spell,0,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6104781346578322,0.6701338500444247,0.23845560425126694,0.04629877661681836,0.6325077204197468,0.656224549891943,0.23262665274992034,0.5769206333283176,0.06958977417054557,-0.003931352117880757,,2.513414975116852,False
best_quote_updates,six_to_ten_ticks,ofi,quote_updates,1,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.5882808168751396,0.6862279142288744,0.24630550846436866,0.01490314943085691,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,ofi,quote_updates,5,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6157707264058625,0.6729740208323541,0.2400268380002775,0.04001464019084733,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,ofi,quote_updates,20,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6090079919106999,0.6747955466196088,0.2408987531206287,0.03652742285504118,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,ofi,quote_updates,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.5577536720073771,0.6878409016996454,0.24735261038230286,0.010715273942351167,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,clock_us,10,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6090449752802478,0.6807657385073187,0.24335634177080828,0.02669831730892358,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,clock_us,100,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6216356800631145,0.6737169103877602,0.24016710108744102,0.03945365913006116,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,clock_us,1000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6287384655978543,0.6701567084908,0.23848450557735554,0.0461831860013886,,,,,,,,,False
best_quote_updates,six_to_ten_ticks,queue_and_ofi,clock_us,10000,2019-01-02,2019-08-06,2019-08-07,2019-10-17,2019-10-18,2019-12-31,5294290,1923916,1794330,0.6293160279823515,0.6692165089786754,0.23807996370549783,0.0478011478828545,0.6363750935437783,0.6662631568596062,0.23669966601873174,0.6055129212575168,0.053299408683856964,-0.0020978510869505934,0.31391446103010856,0.814944524673792,True
