sample,spread_bucket,model,fold,evaluation_month,train_first_date,train_last_date,test_first_date,test_last_date,train_dates,test_dates,train_observations,test_observations,train_upward_fraction,test_upward_fraction,intercept,queue_coefficient,ofi_coefficient,brier_sse,roc_auc,log_loss,brier_score,accuracy,relative_brier_reduction_vs_intercept
price_spell_landmarks,all_spreads,queue,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,6451010,665008,0.5018984624113123,0.49954286264225395,0.014748774678361254,0.3952406051920856,,165840.72873558546,0.5419020466713095,0.6919313138303386,0.24938155441075216,0.5326747948896855,0.002495088565972692
price_spell_landmarks,all_spreads,queue_and_ofi,3,2019-09,2019-01-02,2019-08-30,2019-09-03,2019-09-30,166,19,6451010,665008,0.5018984624113123,0.49954286264225395,0.014789871709391805,0.3603213433016416,1.2831312446558363,164880.32130219333,0.5546969433263911,0.6890448392763008,0.24793735008028975,0.5382100666458148,0.00827178250051186
price_spell_landmarks,all_spreads,intercept,4,2019-10,2019-01-02,2019-09-30,2019-10-01,2019-10-31,185,23,7116018,1049136,0.5016783262774209,0.5027546476338626,0.006713330323050907,,,262277.2544584675,0.5,0.6931343212903797,0.24999357038407555,0.5027546476338626,0.0
price_spell_landmarks,all_spreads,ofi,4,2019-10,2019-01-02,2019-09-30,2019-10-01,2019-10-31,185,23,7116018,1049136,0.5016783262774209,0.5027546476338626,0.007393599461007405,,1.6332807245092242,260824.97493920688,0.5277993009666878,0.6904375131758604,0.2486093079821938,0.5173066218297723,0.005537192015598769
price_spell_landmarks,all_spreads,queue,4,2019-10,2019-01-02,2019-09-30,2019-10-01,2019-10-31,185,23,7116018,1049136,0.5016783262774209,0.5027546476338626,0.013081008121125328,0.37708664664916697,,261387.15517231193,0.5426158588511476,0.6914541301971286,0.24914515865656306,0.53459418035412,0.0033937341916795427
price_spell_landmarks,all_spreads,queue_and_ofi,4,2019-10,2019-01-02,2019-09-30,2019-10-01,2019-10-31,185,23,7116018,1049136,0.5016783262774209,0.5027546476338626,0.012712927288981121,0.3415434387967379,1.3094217414922829,260280.53155540762,0.5527975303791279,0.6893700754993278,0.24809036345660393,0.5395716094004972,0.0076130235051551365
price_spell_landmarks,all_spreads,intercept,5,2019-11,2019-01-02,2019-10-31,2019-11-01,2019-11-29,208,20,8165154,776005,0.5018166221972054,0.498264830767843,0.0072665207627511256,,,194008.7030702546,0.5,0.693166389479176,0.25000960441009346,0.498264830767843,0.0
price_spell_landmarks,all_spreads,ofi,5,2019-11,2019-01-02,2019-10-31,2019-11-01,2019-11-29,208,20,8165154,776005,0.5018166221972054,0.498264830767843,0.007757231872797799,,1.610081583131964,193126.0726127723,0.521457950506443,0.6909028616128035,0.24887220135536792,0.5093588314508283,0.004549437440250714
price_spell_landmarks,all_spreads,queue,5,2019-11,2019-01-02,2019-10-31,2019-11-01,2019-11-29,208,20,8165154,776005,0.5018166221972054,0.498264830767843,0.012262430555355747,0.35573781279455696,,193033.81841429175,0.5449910688978223,0.6906617502354575,0.24875331784497748,0.5362774724389663,0.0050249532136185104
price_spell_landmarks,all_spreads,queue_and_ofi,5,2019-11,2019-01-02,2019-10-31,2019-11-01,2019-11-29,208,20,8165154,776005,0.5018166221972054,0.498264830767843,0.012290813060506814,0.3211557434969771,1.300703053331244,192319.4125038721,0.5537524398478204,0.6888146844872733,0.2478326976035877,0.5406150733564861,0.008707292712382908
price_spell_landmarks,all_spreads,intercept,6,2019-12,2019-01-02,2019-11-29,2019-12-02,2019-12-31,228,21,8941159,906793,0.5015083614998905,0.5048616387643046,0.006033464302357088,,,226687.0138707523,0.5,0.6931223983655441,0.24998760893693747,0.5048616387643046,0.0
