horizon,volume_imbalance,order_flow_imbalance,impact,observations
20,-857.6776878092668,-9.369770580296896,-0.11206140350877238,4446
20,-784.0333037300178,-8.755772646536412,-0.10342917406749591,4504
20,-715.1159161836825,-8.300490414623273,-0.09698395006687499,4486
20,-650.4084257206208,-7.72860310421286,-0.09149002217294966,4510
20,-588.3800762844963,-7.134844065514921,-0.08636190262508486,4457
20,-528.9744279946165,-6.566173171825931,-0.08008748317631283,4458
20,-471.40022271714923,-5.902449888641425,-0.06657906458797319,4490
20,-415.1365264100269,-5.209042076991943,-0.05922000895255178,4468
20,-360.20657485561975,-4.5384273656152825,-0.0496457130164371,4502
20,-307.3698416239126,-3.979478028106179,-0.045896720945795264,4483
20,-255.09677419354838,-3.282810428634556,-0.03712549712770645,4526
20,-203.76240974729242,-2.7287906137184117,-0.028275045126353097,4432
20,-152.92485676509475,-1.9665050683120318,-0.020174085500219974,4538
20,-102.30154812654251,-1.3107471393313888,-0.012583576396679369,4457
20,-51.831685393258425,-0.7595505617977528,-0.002195505617977307,4450
20,-0.9971008028545941,-0.06735057983942908,0.005268733273863421,4484
20,49.87926802053113,0.6574425351484043,0.005214237893326553,4481
20,100.8143619386394,1.2209871053801689,0.01909070698088007,4498
20,150.35432541461228,1.860600627521291,0.023319139399372683,4462
20,201.92034805890228,2.391343150379295,0.03405287817938487,4482
20,254.75483011325784,3.1192538307794804,0.0397290695092172,4503
20,308.140164116212,3.6442670215125306,0.04723331115546688,4509
20,363.97356630824373,4.387096774193548,0.05614695340501834,4464
20,420.30733436738313,5.033902060713494,0.06417128296033782,4513
20,477.34939216569114,5.658262044124268,0.06616276452048668,4442
20,536.5219632451815,6.1429852084267145,0.0791707754370239,4462
20,597.3678779721848,6.933602512337371,0.08155899506505222,4458
20,661.626334519573,7.556939501779359,0.09587077402135245,4496
20,729.1746102449889,7.984409799554566,0.09853897550111403,4490
20,799.6888938447814,8.573148974130241,0.10786797502230136,4484
20,874.8337038683859,9.218319253001335,0.11221320586927487,4498
20,955.3162011173184,9.775195530726258,0.11900558659217851,4475
20,1045.1422818791946,10.335570469798657,0.12345861297539147,4470
20,1143.8129190880643,10.942333482342423,0.12969266875279362,4474
20,1260.2708379888268,11.310837988826815,0.13877541899441362,4475
20,1395.2908766451037,11.968324782511711,0.1413718492081199,4483
20,1558.0698864900958,12.276430002225684,0.14886601379924266,4493
20,1771.1107126848947,12.789332138054684,0.14755826983415563,4462
20,2087.8670829616412,12.818911685994648,0.16055865298840344,4484
20,2699.083277517303,12.590310337128823,0.16201830765795916,4479
20,5918.062918340027,12.867469879518072,0.15125055778670235,4482
50,-10632.011712214166,-25.379810373675404,-0.29634690462911273,1793
50,-5272.926815642458,-25.131843575418994,-0.2943016759776537,1790
50,-4087.804238706079,-24.503067484662576,-0.28064138315672094,1793
50,-3447.805462653289,-24.090301003344482,-0.266045150501673,1794
50,-3008.040804918949,-22.835103409726106,-0.26074622694242594,1789
50,-2672.403234802008,-21.406581148912437,-0.23654768544339044,1793
50,-2400.3142061281337,-20.27632311977716,-0.2251671309192209,1795
50,-2176.980973698937,-19.548964745383323,-0.2113933967543382,1787
50,-1981.1686143572622,-18.769059543683916,-0.19512242626599838,1797
