sample,spread_bucket,model,target_train_signal_fraction,achieved_train_signal_fraction,test_signal_fraction,confidence_cutoff,landmark_age_us,entry_latency_us,shares,train_first_date,train_last_date,test_first_date,test_last_date,train_signals,test_signals,selected_test_signals,arrived_test_signals,filled_round_trips,stale_fraction,capacity_censored_fraction,buy_fraction,direction_roc_auc,direction_accuracy,direction_log_loss,direction_brier_score,direction_baseline_brier_score,direction_clusters,direction_replicates,direction_relative_brier_reduction,direction_relative_brier_reduction_lower_95,direction_relative_brier_reduction_median,direction_relative_brier_reduction_upper_95,direction_probability_nonpositive,intercept,queue_coefficient,ofi_coefficient,clusters,replicates,midpoint_move_mean_bps,entry_cost_mean_bps,exit_cost_mean_bps,quoted_round_trip_mean_bps,quoted_round_trip_lower_95_bps,quoted_round_trip_median_bps,quoted_round_trip_upper_95_bps,probability_quoted_pnl_nonpositive
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,0,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,156843,93656,0.0,0.4028678359888551,0.570374562227727,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.0994416866336895,2.373448829540085,2.2925776593755702,-4.5665848022821045,-4.936015982408046,-4.562378420333724,-4.189601751865676,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,10,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,152962,91847,0.024744489712642537,0.3995436775146769,0.5703289165677703,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.0922697314844237,2.38392616876242,2.298106424771766,-4.589762862049625,-4.960885616973158,-4.585604329494059,-4.211935225334817,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,100,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,136147,84265,0.13195360966061598,0.3810733986059186,0.5719575149824957,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.0680072360003851,2.41372959189193,2.3046608724893156,-4.6503832283808855,-5.018106171299216,-4.646421791773725,-4.277900500322537,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,1000,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,96476,61950,0.384888072786162,0.35787138770264104,0.5704439063761098,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.0367017048552376,2.496687067672936,2.3364683605170193,-4.7964537233348175,-5.165556042925224,-4.793868488664412,-4.426725216931683,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,10000,100,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,66830,42774,0.5739051153063892,0.35995810264851114,0.5878103520830411,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,0.020253387720197278,2.336183500466861,2.2181777105761586,-4.534107823322812,-4.860942820399214,-4.532008892840413,-4.209845780953825,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,0,500,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,156843,1198,0.0,0.9923617885401325,0.6327212020033389,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,-0.028848501793503883,2.208889541071723,2.2041691222229933,-4.441907165088061,-4.7532252585186425,-4.4431718343404265,-4.117061612604702,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,10,500,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,152962,1181,0.024744489712642537,0.992279128149475,0.6316680779000847,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,-0.0343480228465941,2.2185992620765096,2.2053491214299488,-4.458296406352936,-4.7796257642866,-4.4584662301924505,-4.129045666239168,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,100,500,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,136147,1095,0.13195360966061598,0.9919572227078085,0.6383561643835617,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,-0.05689300335218156,2.1816996654733436,2.175243520512963,-4.413836189338649,-4.721622232339791,-4.4131233965325665,-4.081061802815519,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,1000,500,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,96476,826,0.384888072786162,0.9914382851693685,0.6428571428571429,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,-0.09837467008174446,2.2554977359776234,2.172864325328281,-4.5267367313878095,-4.875147364344812,-4.526475257370423,-4.152067994064275,1.0
price_spell_round_trips,all_spreads,ofi,0.1,0.11002162059419443,0.0713473723571067,0.05427427719956757,100,10000,500,2019-01-02,2019-10-17,2019-10-18,2019-12-31,7649651,2198301,156843,66830,665,0.5739051153063892,0.9900493790213976,0.6511278195488722,0.5229623620184224,0.5128255866689776,0.6908107686616092,0.248816985144512,0.25000198706756166,51,10000,0.0047399700176361526,0.004329787518591049,0.004747609697585364,0.005117493327120859,0.0,0.009089513697119267,,1.6187141674317413,51,10000,-0.10731915123532104,2.2218559168796177,2.1248621331745277,-4.454037201289783,-4.84644966616582,-4.449777282451068,-4.042338745250072,1.0
