sample,spread_bucket,model,target_train_signal_fraction,entry_latency_us,shares,filled_round_trips,filled_test_dates,quoted_round_trip_mean_bps,cluster_standard_error_bps,pointwise_lower_95_bps,pointwise_upper_95_bps,simultaneous_lower_95_bps,simultaneous_upper_95_bps,familywise_adjusted_p_value,inference_status
price_spell_round_trips,all_spreads,ofi,0.2,1000,100,1033851,51,-5.363536032663475,0.19301145795398045,-5.741554108948892,-4.991705796762215,-5.94752876197372,-4.779543303353231,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,1000,500,20107,51,-5.348930867474562,0.21463576170456858,-5.765269611780797,-4.940154863675022,-5.99835202419843,-4.699509710750694,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,10000,1,1176470,51,-4.331012577490768,0.17248315866909916,-4.672500392773399,-4.004551569792891,-4.852893048520814,-3.809132106460723,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,10000,100,783752,51,-5.164648616906422,0.18532421084314135,-5.5268762796035675,-4.806945454797147,-5.725382123843393,-4.60391510996945,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,0.2,10000,500,16455,51,-5.220093712344647,0.20539139573255755,-5.617664185336328,-4.824531570765016,-5.841544288606785,-4.598643136082508,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,0,1,2198301,51,-4.3451955515957135,0.17972193156739444,-4.701796306818638,-4.005678959093732,-4.888978301311932,-3.8014128018794957,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,0,100,1382801,51,-5.316699857664724,0.19573091361774544,-5.69931437542512,-4.940193109465091,-5.908920815247815,-4.724478900081633,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,0,500,25426,51,-5.322843012669386,0.2122890836715831,-5.730582186083954,-4.917829873003921,-5.965163850459741,-4.680522174879031,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,10,1,2175478,51,-4.357867866439794,0.17989342111986945,-4.714584456968199,-4.017955137234989,-4.902169490283278,-3.8135662425963113,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,10,100,1372218,51,-5.324241058738103,0.19571228148405767,-5.707280271247637,-4.947218163185823,-5.91640564127113,-4.732076476205076,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,10,500,25236,51,-5.3332179353311755,0.21299682525593197,-5.742528160565794,-4.927276545507231,-5.977680179356537,-4.688755691305814,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,100,1,2044491,51,-4.414094163005966,0.18137740958868456,-4.772978861231472,-4.071123982527015,-4.962885875082319,-3.8653024509296126,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,100,100,1307260,51,-5.354885145595813,0.19656494655947662,-5.7389242394963755,-4.974871352134114,-5.9496296278397685,-4.760140663351858,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,100,500,24228,51,-5.3558167053589845,0.21350370841848357,-5.763247480348506,-4.949499847286081,-6.001812620414438,-4.709820790303531,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,1000,1,1564677,51,-4.492164231504544,0.1801084542887953,-4.849626225428776,-4.1530572646996715,-5.037116478935582,-3.947211984073506,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,1000,100,1033851,51,-5.363536032663475,0.19301145795398045,-5.741554108948892,-4.991705796762215,-5.94752876197372,-4.779543303353231,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,1000,500,20107,51,-5.348930867474562,0.21463576170456858,-5.765269611780797,-4.940154863675022,-5.99835202419843,-4.699509710750694,9.999000099990002e-05,estimable
price_spell_round_trips,all_spreads,ofi,1.0,10000,1,1176470,51,-4.331012577490768,0.17248315866909916,-4.672500392773399,-4.004551569792891,-4.852893048520814,-3.809132106460723,9.999000099990002e-05,estimable
