date,requested_end_seconds,scheduled_close_seconds,end_gap_seconds,events_after_scheduled_close,coverage_status,analysis_status
2019-04-15,57600.0,57600.0,0.083820477,0,complete,included
2019-04-16,57600.0,57600.0,0.002991005,0,complete,included
2019-04-17,57600.0,57600.0,0.084951351,0,complete,included
2019-04-18,57600.0,57600.0,0.311093243,0,complete,included
2019-04-22,57600.0,57600.0,0.012005563,0,complete,included
2019-04-23,57600.0,57600.0,0.097236475,0,complete,included
2019-04-24,57600.0,57600.0,0.020028491,0,complete,included
2019-04-25,57600.0,57600.0,0.292049739,0,complete,included
2019-04-26,57600.0,57600.0,0.006557027,0,complete,included
2019-04-29,57600.0,57600.0,0.047122489,0,complete,included
2019-04-30,57600.0,57600.0,0.016423466,0,complete,included
2019-05-01,57600.0,57600.0,0.088766633,0,complete,included
2019-05-02,57600.0,57600.0,0.02295214,0,complete,included
2019-05-03,57600.0,57600.0,0.017125872,0,complete,included
2019-05-06,57600.0,57600.0,0.202479544,0,complete,included
2019-05-07,57600.0,57600.0,0.007590007,0,complete,included
2019-05-08,57600.0,57600.0,0.007996471,0,complete,included
2019-05-09,57600.0,57600.0,0.008500304,0,complete,included
2019-05-10,57600.0,57600.0,0.093134019,0,complete,included
2019-05-13,57600.0,57600.0,0.101570027,0,complete,included
2019-05-14,57600.0,57600.0,0.085927388,0,complete,included
2019-05-15,57600.0,57600.0,0.003556963,0,complete,included
2019-05-16,57600.0,57600.0,0.070317843,0,complete,included
2019-05-17,57600.0,57600.0,0.291941929,0,complete,included
2019-05-20,57600.0,57600.0,0.089418289,0,complete,included
2019-05-21,57600.0,57600.0,0.039112366,0,complete,included
2019-05-22,57600.0,57600.0,0.291988845,0,complete,included
2019-05-23,57600.0,57600.0,0.022685292,0,complete,included
2019-05-24,57600.0,57600.0,0.294530346,0,complete,included
2019-05-28,57600.0,57600.0,0.049672197,0,complete,included
2019-05-29,57600.0,57600.0,0.03221665,0,complete,included
2019-05-30,57600.0,57600.0,0.010553852,0,complete,included
2019-05-31,57600.0,57600.0,0.022705255,0,complete,included
2019-06-03,57600.0,57600.0,0.028708287,0,complete,included
2019-06-04,57600.0,57600.0,0.102722638,0,complete,included
2019-06-05,57600.0,57600.0,0.018373421,0,complete,included
2019-06-06,57600.0,57600.0,0.02268658,0,complete,included
2019-06-07,57600.0,57600.0,0.056916376,0,complete,included
2019-06-10,57600.0,57600.0,0.084082137,0,complete,included
2019-06-11,57600.0,57600.0,0.044942911,0,complete,included
2019-06-12,57600.0,57600.0,0.035315836,0,complete,included
2019-06-13,57600.0,57600.0,0.164451098,0,complete,included
2019-06-14,57600.0,57600.0,0.291376448,0,complete,included
2019-06-17,57600.0,57600.0,0.091275725,0,complete,included
2019-06-18,57600.0,57600.0,0.001379097,0,complete,included
2019-06-19,57600.0,57600.0,0.095494012,0,complete,included
2019-06-20,57600.0,57600.0,0.051500387,0,complete,included
2019-06-21,57600.0,57600.0,0.0154343,0,complete,included
2019-06-24,57600.0,57600.0,0.021185463,0,complete,included
2019-06-25,57600.0,57600.0,0.086064851,0,complete,included
2019-06-26,57600.0,57600.0,0.291207392,0,complete,included
2019-06-27,57600.0,57600.0,0.019528814,0,complete,included
2019-06-28,57600.0,57600.0,0.058584496,0,complete,included
2019-07-01,57600.0,57600.0,0.121314161,0,complete,included
2019-07-02,57600.0,57600.0,0.29112189,0,complete,included
2019-07-03,57600.0,46800.0,0.015813017,909,complete,included
2019-07-05,57600.0,57600.0,0.173202247,0,complete,included
2019-07-08,57600.0,57600.0,0.028339578,0,complete,included
2019-07-09,57600.0,57600.0,0.022931542,0,complete,included
2019-07-10,57600.0,57600.0,0.291333581,0,complete,included
2019-07-11,57600.0,57600.0,0.096095645,0,complete,included
2019-07-12,57600.0,57600.0,0.049337418,0,complete,included
2019-07-15,57600.0,57600.0,0.000540328,0,complete,included
2019-07-16,57600.0,57600.0,0.020337422,0,complete,included
