sample,spread_bucket,bin,bin_center,observations,up_moves,down_moves,model_probability,empirical_up_probability
best_quote_updates,six_to_ten_ticks,100,0.9900990099,44466,25349,19117,0.5886291854338487,0.5700760131336302
best_quote_updates,two_to_five_ticks,0,-0.9900990099,31180,15462,15718,0.41975339089403707,0.49589480436177036
best_quote_updates,two_to_five_ticks,1,-0.9702970297,31809,14415,17394,0.4213518671078574,0.45317363010468736
best_quote_updates,two_to_five_ticks,2,-0.9504950495,16437,8094,8343,0.42295199345634543,0.4924256251140719
best_quote_updates,two_to_five_ticks,3,-0.9306930693,17606,8034,9572,0.4245537380186912,0.45632170850846304
best_quote_updates,two_to_five_ticks,4,-0.9108910891,15840,7541,8299,0.4261570687397933,0.47607323232323234
best_quote_updates,two_to_five_ticks,5,-0.8910891089,13587,6567,7020,0.4277619534327187,0.4833296533451093
best_quote_updates,two_to_five_ticks,6,-0.8712871287,13521,6239,7282,0.4293683597811853,0.4614303675763627
best_quote_updates,two_to_five_ticks,7,-0.8514851485,11691,5710,5981,0.4309762553420687,0.48840988794799417
best_quote_updates,two_to_five_ticks,8,-0.8316831683,8302,4075,4227,0.43258560754792913,0.490845579378463
best_quote_updates,two_to_five_ticks,9,-0.8118811881,14518,6827,7691,0.4341963837095618,0.47024383523901364
best_quote_updates,two_to_five_ticks,10,-0.7920792079,9591,4680,4911,0.43580855101856825,0.48795746011886143
best_quote_updates,two_to_five_ticks,11,-0.7722772277,9284,4325,4959,0.4374220765499476,0.4658552348125808
best_quote_updates,two_to_five_ticks,12,-0.7524752475,8778,4260,4518,0.43903692726471033,0.48530416951469585
best_quote_updates,two_to_five_ticks,13,-0.7326732673,14225,7697,6528,0.4406530700125103,0.5410896309314587
best_quote_updates,two_to_five_ticks,14,-0.7128712871,9119,4325,4794,0.44227047153429805,0.47428446101546223
best_quote_updates,two_to_five_ticks,15,-0.6930693069,6588,3365,3223,0.44388909846499164,0.5107771706132362
best_quote_updates,two_to_five_ticks,16,-0.6732673267,13018,6121,6897,0.4455089173361683,0.4701951144569058
best_quote_updates,two_to_five_ticks,17,-0.6534653465,5415,2816,2599,0.44712989457877345,0.5200369344413666
best_quote_updates,two_to_five_ticks,18,-0.6336633663,7089,3625,3464,0.44875199652584663,0.5113556213852447
best_quote_updates,two_to_five_ticks,19,-0.6138613861,5948,3043,2905,0.4503751894152674,0.511600537995965
best_quote_updates,two_to_five_ticks,20,-0.5940594059,12917,6260,6657,0.45199943939251574,0.48463265464117056
best_quote_updates,two_to_five_ticks,21,-0.5742574257,6060,3076,2984,0.4536247125134504,0.5075907590759076
best_quote_updates,two_to_five_ticks,22,-0.5544554455,6599,3395,3204,0.4552509747471033,0.5144718896802546
best_quote_updates,two_to_five_ticks,23,-0.5346534653,10550,5785,4765,0.4568781919784886,0.5483412322274882
best_quote_updates,two_to_five_ticks,24,-0.5148514851,4984,2534,2450,0.45850633001142777,0.5084269662921348
best_quote_updates,two_to_five_ticks,25,-0.495049505,11110,4960,6150,0.4601353545631602,0.4464446444644464
best_quote_updates,two_to_five_ticks,26,-0.4752475248,5150,2636,2514,0.461765231300107,0.5118446601941747
best_quote_updates,two_to_five_ticks,27,-0.4554455446,4754,2428,2326,0.4633959257913793,0.5107278081615482
